Number of all nodes =  379659 
nodes in x-z-plane =  13324 
nodes in y-z-plane =  13324 
nodes in x-y-plane ~  4000 
ma_x0          50 
ma_y0          80 

Nodes along z-axis =  303 
No.           coord. value
 1             0             2,955724 
-0.9          302.686       0.0           -3.59558E-3   -0.17149      1.67406       0.45774
-0.85         302.861       0.0           -3.59632E-3   -0.34009      1.47158       0.3889
-0.8          303.046       0.0           -3.5972E-3    -0.31781      1.41397       0.38651
-0.75         303.243       0.0           -3.59815E-3   -0.59062      1.21553       0.22158
-0.7          303.455       0.0           -3.59923E-3   -0.67171      1.10331       0.19907
-0.65         303.682       0.0           -3.60031E-3   -0.7232       0.97594       0.18279
-0.6          303.928       3.78868E-5    -3.60151E-3   -0.95752      0.74983       3.70999E-2
-0.55         304.195       2.58102E-4    -3.60277E-3   -1.16074      0.59512       -4.84641E-2
-0.5          304.488       1.31095E-3    -3.60406E-3   -1.17563      0.45011       -7.54976E-2
-0.45         304.812       5.69438E-3    -3.60534E-3   -1.29285      0.26878       -0.1532
-0.4          305.173       2.11613E-2    -3.60663E-3   -1.45531      7.1615E-2     -0.24731
-0.35         305.579       6.73044E-2    -3.60785E-3   -1.63037      -0.21397      -0.41048
-0.3          306.036       0.18328       -3.60902E-3   -1.90469      -0.63838      -0.67004
-0.25         306.544       0.4275        -3.61007E-3   -2.24432      -1.18345      -1.02181
-0.2          307.087       0.85435       -3.611E-3     -2.51586      -1.69046      -1.39772
-0.15         307.628       1.46341       -3.61172E-3   -2.7825       -2.23826      -1.80786
-0.1          308.103       2.14896       -3.61225E-3   -3.01743      -2.75597      -2.18792
-5.E-2        308.432       2.70591       -3.61251E-3   -3.22031      -3.12026      -2.49182
-2.22045E-16  308.55        2.92192       -3.61252E-3   -3.22465      -3.25147      -2.56977
5.E-2         308.431       2.70591       -3.61226E-3   -3.15288      -3.09913      -2.46879
0.1           308.1         2.14896       -3.61173E-3   -3.01002      -2.76166      -2.18313
0.15          307.624       1.46341       -3.6109E-3    -2.75682      -2.25552      -1.78791
0.2           307.082       0.85435       -3.60992E-3   -2.44347      -1.71158      -1.36645
0.25          306.538       0.4275        -3.60875E-3   -2.24142      -1.23285      -1.01488
0.3           306.03        0.18328       -3.60741E-3   -1.96849      -0.76361      -0.67596
0.35          305.573       6.73044E-2    -3.60598E-3   -1.672        -0.31557      -0.39941
0.4           305.166       2.11613E-2    -3.60447E-3   -1.5015       -4.37267E-2   -0.21924
0.45          304.805       5.69438E-3    -3.60292E-3   -1.3017       0.1828        -9.52646E-2
