"0"
"=-0,3","=303,593","=0,14707","=0,0000405493","=-1,87034","=-0,66421","=-1,94875",
"=-0,25","=304,001","=0,34302","=0,00004063","=-2,11976","=-1,13164","=-2,45175",
"=-0,2","=304,438","=0,6855","=0,0000407186","=-2,33885","=-1,56827","=-2,95592",
"=-0,15","=304,873","=1,17416","=0,0000408109","=-2,55634","=-2,04052","=-3,46837",
"=-0,1","=305,255","=1,72419","=0,0000409086","=-2,71552","=-2,46013","=-3,91078",
"=-0,05","=305,52","=2,17102","=0,000041008","=-2,83378","=-2,75082","=-4,21884",
"=-2,22045e-16","=305,615","=2,34433","=0,0000411127","=-2,84905","=-2,84156","=-4,3164",
"=0,05","=305,52","=2,17102","=0,000041221","=-2,79144","=-2,71249","=-4,19239",
"=0,1","=305,255","=1,72419","=0,0000413329","=-2,66538","=-2,41981","=-3,87799",
"=0,15","=304,873","=1,17416","=0,0000414472","=-2,49963","=-2,00231","=-3,43235",
"=0,2","=304,438","=0,6855","=0,0000415677","=-2,29507","=-1,5389","=-2,92391",
"=0,25","=304,001","=0,34302","=0,0000416913","=-2,12945","=-1,15536","=-2,44806",
"=0,3","=303,593","=0,14707","=0,0000418157","=-1,89254","=-0,70641","=-1,95149",
"=0,35","=303,225","=0,0540071","=0,0000419428","=-1,59607","=-0,27548","=-1,47323",
"=0,4","=302,898","=0,0169812","=0,0000420714","=-1,45124","=-0,0446598","=-1,1291",
"=0,45","=302,607","=0,00456973","=0,0000421998","=-1,27404","=0,20416","=-0,79326",
"=0,5","=302,346","=0,00105209","=0,0000423315","=-1,15267","=0,42475","=-0,50347",
"=0,55","=302,109","=0,000207149","=0,0000424609","=-1,11139","=0,57139","=-0,27664",
"=0,6","=301,893","=0,0000304091","=0,0000426003","=-0,95134","=0,76455","=-0,015221",
"=0,65","=301,694","=0","=0,000042739","=-0,83012","=0,89991","=0,20359",
"=0,7","=301,51","=0","=0,0000428855","=-0,65646","=1,07194","=0,4397",
"=0,75","=301,339","=0","=0,0000430375","=-0,4601","=1,24026","=0,67192",
"=0,8","=301,179","=0","=0,0000431804","=-0,26486","=1,33011","=0,87065",
"=0,85","=301,028","=0","=0,0000433635","=-0,16227","=1,42014","=1,03786",
"=0,9","=300,887","=0","=0,0000435371","=-0,13443","=1,55641","=1,18822",
"=0,95","=300,752","=0","=0,0000437317","=0,0531479","=1,7358","=1,38341",
"=1","=300,625","=0","=0,0000438319","=-0,0459936","=1,87231","=1,48359",
"=1","=300,625","=0","=0,0000438319","=0,24045","=1,92924","=1,59551",
"=1","=300,625","=0","=0,0000438318","=0,33958","=2,17234","=1,70104",
"=1,00005","=300,625","=0","=0,0000438318","=1,86739","=2,68408","=2,34407",

"30"
"x","Temp","Pump Light","z-disp","Sxx","Syy","Szz",
"=-0,95","=299,325","=0","=0,00355079","=-0,32745","=1,34892","=0,0504839",
"=-0,9","=299,43","=0","=0,00354952","=-0,55768","=1,05675","=-0,25433",
"=-0,85","=299,546","=0","=0,00354828","=-0,87462","=0,7315","=-0,60128",
"=-0,8","=299,668","=0","=0,00354711","=-0,97471","=0,70602","=-0,7001",
"=-0,75","=299,798","=0","=0,00354617","=-0,8447","=0,75176","=-0,56452",
"=-0,7","=299,937","=0","=0,00354523","=-0,79769","=0,80452","=-0,44013",
"=-0,65","=300,085","=0","=0,00354454","=-0,72716","=0,91642","=-0,19371",
"=-0,6","=300,245","=0,0000223822","=0,00354378","=-0,84213","=0,83555","=-0,39744",
"=-0,55","=300,418","=0,000160111","=0,00354325","=-0,84683","=0,78225","=-0,3255",
"=-0,5","=300,608","=0,000816978","=0,0035427","=-0,75483","=0,83649","=-0,37954",
"=-0,45","=300,817","=0,00356625","=0,00354232","=-0,50744","=0,94384","=-0,0852896",
"=-0,4","=301,051","=0,0133203","=0,00354179","=-0,69366","=0,81116","=-0,42318",
"=-0,35","=301,312","=0,0425806","=0,00354152","=-0,41522","=0,90605","=-0,21758",
"=-0,3","=301,606","=0,11652","=0,00354112","=-0,42069","=0,73931","=-0,37072",
"=-0,25","=301,933","=0,27297","=0,00354085","=-0,32329","=0,66664","=-0,29159",
"=-0,2","=302,284","=0,54762","=0,00354037","=-0,23202","=0,57037","=-0,40341",
"=-0,15","=302,634","=0,94087","=0,00353984","=0,0116353","=0,52996","=-0,24833",
"=-0,1","=302,941","=1,3846","=0,00353894","=0,14092","=0,4064","=-0,29411",
"=-0,05","=303,157","=1,74542","=0,00353781","=0,31879","=0,37873","=-0,19321",
"=-2,22045e-16","=303,237","=1,88486","=0,0035361","=0,21991","=0,28607","=-0,3948",
"=0,05","=303,164","=1,7437","=0,00353406","=0,28482","=0,38025","=-0,31247",
"=0,1","=302,955","=1,38189","=0,00353146","=0,19249","=0,46992","=-0,35088",
"=0,15","=302,651","=0,93813","=0,00352859","=0,16936","=0,68523","=-0,22932",
"=0,2","=302,303","=0,54551","=0,00352539","=-0,0404169","=0,72852","=-0,36059",
"=0,25","=301,953","=0,27167","=0,00352209","=-0,16214","=0,77764","=-0,34616",
"=0,3","=301,625","=0,11586","=0,0035186","=-0,23047","=0,92858","=-0,36224",
"=0,35","=301,329","=0,0423052","=0,00351515","=-0,24632","=1,06305","=-0,27143",
"=0,4","=301,065","=0,0132237","=0,00351158","=-0,3867","=0,98875","=-0,42441",
"=0,45","=300,83","=0,0035377","=0,00350815","=-0,37698","=1,13925","=-0,25114",
"=0,5","=300,619","=0,000809866","=0,00350468","=-0,46577","=1,07019","=-0,36038",
"=0,55","=300,428","=0,000158613","=0,00350133","=-0,48405","=1,12293","=-0,28192",
"=0,6","=300,253","=0,0000220616","=0,00349797","=-0,39007","=1,19432","=-0,21279",
"=0,65","=300,092","=0","=0,00349475","=-0,40664","=1,19937","=-0,19282",
"=0,7","=299,943","=0","=0,00349151","=-0,57367","=1,121","=-0,34863",
"=0,75","=299,804","=0","=0,00348837","=-0,4325","=1,25688","=-0,21464",
"=0,8","=299,674","=0","=0,00348536","=-0,35885","=1,26205","=-0,0803752",
"=0,85","=299,551","=0","=0,00348232","=-0,2398","=1,26006","=-0,32856",
"=0,9","=299,435","=0","=0,00347957","=-0,35176","=1,38618","=-0,18252",
"=0,95","=299,332","=0","=0,00347662","=-0,5604","=1,12749","=-0,4059",
"=1","=293,837","=0","=0,00347338","=10,3806","=11,315","=6,30829",

"0,0199734"
"x","Temp","Pump Light","z-disp","Sxx","Syy","Szz",
"=-0,99995","=302,339","=0","=-0,00366691","=0,11182","=2,38683","=0,26958",
"=-0,95","=302,521","=0","=-0,00366782","=-0,22771","=2,24865","=0,17506",
"=-0,9","=302,691","=0","=-0,00366902","=-0,26438","=2,1781","=0,19999",
"=-0,85","=302,868","=0","=-0,00367012","=-0,56389","=1,90816","=-0,00130962",
"=-0,8","=303,054","=0","=-0,00367154","=-0,52277","=1,92805","=0,023371",
"=-0,75","=303,253","=0","=-0,00367302","=-0,58265","=1,88845","=-0,0149775",
"=-0,7","=303,464","=0","=-0,0036746","=-0,71723","=1,7201","=-0,0995503",
"=-0,65","=303,692","=0","=-0,00367634","=-0,78849","=1,68006","=-0,12016",
"=-0,6","=303,939","=0,0000402291","=-0,00367825","=-0,72994","=1,62748","=-0,14452",
"=-0,55","=304,207","=0,000271286","=-0,00368027","=-0,77306","=1,59628","=-0,16497",
"=-0,5","=304,502","=0,0013738","=-0,00368235","=-0,61138","=1,60569","=-0,10202",
"=-0,45","=304,827","=0,00594882","=-0,0036846","=-0,58617","=1,55588","=-0,0834767",
"=-0,4","=305,19","=0,0220344","=-0,00368681","=-0,41861","=1,61975","=-0,0231177",
